transcript_id gene_id TPM
FBtr0071763 FBgn0000008 4.52
FBtr0071764 FBgn0000008 0.1
FBtr0100521 FBgn0000008 2.57
FBtr0083387 FBgn0000014 0.00
FBtr0083388 FBgn0000014 3.35
FBtr0300485 FBgn0000014 6.63
FBtr0306337 FBgn0000014 1.76
FBtr0083381 FBgn0000015 2.82
FBtr0083382 FBgn0000015 1.38
FBtr0083383 FBgn0000015 2.18
FBtr0083384 FBgn0000015 2.4
FBtr0083385 FBgn0000015 0.65
FBtr0330709 FBgn0000015 0.93
FBtr0075357 FBgn0000017 5.55
FBtr0112790 FBgn0000017 3.64
FBtr0330130 FBgn0000017 0.82
FBtr0330131 FBgn0000017 0.16
FBtr0330132 FBgn0000017 0.43
FBtr0330133 FBgn0000017 1.49
FBtr0330134 FBgn0000017 1.05
FBtr0330135 FBgn0000017 3.36
FBtr0330136 FBgn0000017 4.54
FBtr0080168 FBgn0000018 19.93
FBtr0070072 FBgn0000022 0.00
FBtr0082780 FBgn0000024 29.07
FBtr0300486 FBgn0000024 11.28
FBtr0074015 FBgn0000028 0.00
FBtr0100326 FBgn0000028 0.00
FBtr0100328 FBgn0000028 0.25
FBtr0290063 FBgn0000028 0.00
FBtr0290064 FBgn0000028 1.87
FBtr0305189 FBgn0000028 0.00
FBtr0305190 FBgn0000028 0.1
FBtr0305191 FBgn0000028 1.8
FBtr0305192 FBgn0000028 0.00
FBtr0305193 FBgn0000028 0.00
FBtr0305194 FBgn0000028 0.25
FBtr0305195 FBgn0000028 0.87
FBtr0305196 FBgn0000028 0.00
FBtr0085609 FBgn0000032 39.62
FBtr0085610 FBgn0000032 0.66
FBtr0084619 FBgn0000036 0.99
FBtr0330310 FBgn0000036 1.23
FBtr0072367 FBgn0000037 3.36
FBtr0072368 FBgn0000037 1.52
FBtr0073299 FBgn0000038 32.74
FBtr0073300 FBgn0000038 22.28
FBtr0084639 FBgn0000039 5.19
FBtr0084640 FBgn0000039 0.27
FBtr0070822 FBgn0000042 418.75
FBtr0070823 FBgn0000042 38.34
FBtr0100662 FBgn0000042 0.00
FBtr0100663 FBgn0000042 161.21
FBtr0086029 FBgn0000043 198.7
FBtr0071519 FBgn0000044 611.56
FBtr0300946 FBgn0000044 0.06
FBtr0078478 FBgn0000045 455.44
FBtr0334090 FBgn0000045 22.82
FBtr0082785 FBgn0000046 110.43
FBtr0082786 FBgn0000046 105.95
FBtr0083143 FBgn0000047 35.76
FBtr0079219 FBgn0000052 1.69
FBtr0079220 FBgn0000052 9.98
FBtr0079221 FBgn0000052 15.14
FBtr0079431 FBgn0000053 63.35
FBtr0100353 FBgn0000053 8.94
FBtr0086111 FBgn0000054 0.01
FBtr0086112 FBgn0000054 4.37
FBtr0086113 FBgn0000054 9.78
FBtr0330251 FBgn0000054 0.52
FBtr0330252 FBgn0000054 2.55
FBtr0100589 FBgn0000055 1380.12
FBtr0100590 FBgn0000055 21.85
FBtr0100591 FBgn0000055 0.11
FBtr0100593 FBgn0000055 0.00
FBtr0100594 FBgn0000055 8.97
FBtr0006151 FBgn0000056 5.57
FBtr0100187 FBgn0000056 0.56
FBtr0086744 FBgn0000057 28.81
FBtr0078053 FBgn0000061 0.86
FBtr0083478 FBgn0000063 8.32
FBtr0331348 FBgn0000063 0.00
FBtr0084994 FBgn0000064 1292.79
FBtr0084995 FBgn0000064 2674.36
FBtr0084999 FBgn0000064 145.55
FBtr0085000 FBgn0000064 131.02
FBtr0085001 FBgn0000064 18.87
FBtr0114544 FBgn0000064 0.06
FBtr0306657 FBgn0000064 46.22
FBtr0310660 FBgn0000064 20.16
FBtr0310661 FBgn0000064 357.04
FBtr0081618 FBgn0000071 0.00
FBtr0081619 FBgn0000071 0.00
FBtr0081620 FBgn0000071 0.00
FBtr0081153 FBgn0000075 1.01
FBtr0081154 FBgn0000075 3.89
FBtr0071331 FBgn0000077 1.96
FBtr0307281 FBgn0000077 11.95
FBtr0086983 FBgn0000078 155.53
FBtr0087004 FBgn0000079 393.14
FBtr0089517 FBgn0000083 90.59
FBtr0089518 FBgn0000083 49.6
FBtr0089519 FBgn0000083 21.32
FBtr0089520 FBgn0000083 0.54
FBtr0070025 FBgn0000084 40.19
FBtr0301931 FBgn0000084 9.01
FBtr0070504 FBgn0000092 0.93
FBtr0085611 FBgn0000094 1291.65
FBtr0077850 FBgn0000097 6.58
FBtr0077851 FBgn0000097 0.31
FBtr0330658 FBgn0000097 0.00
FBtr0330659 FBgn0000097 3.3
FBtr0330660 FBgn0000097 3.8
FBtr0086058 FBgn0000099 10.73
FBtr0086059 FBgn0000099 0.02
FBtr0300504 FBgn0000099 7.71
FBtr0300505 FBgn0000099 0.00
FBtr0078481 FBgn0000100 1123.15
FBtr0334113 FBgn0000100 6.71
FBtr0070109 FBgn0000108 0.00
FBtr0307291 FBgn0000108 10.47
FBtr0307292 FBgn0000108 0.00
FBtr0307293 FBgn0000108 6.54
FBtr0307294 FBgn0000108 6.76
FBtr0307295 FBgn0000108 10.97
FBtr0089420 FBgn0000109 12.89
FBtr0080344 FBgn0000114 197.85
FBtr0080345 FBgn0000114 0.00
FBtr0080347 FBgn0000114 0.03
FBtr0300567 FBgn0000114 0.00
FBtr0331644 FBgn0000114 0.25
FBtr0331645 FBgn0000114 9.16
FBtr0331646 FBgn0000114 0.55
FBtr0331647 FBgn0000114 0.00
FBtr0331648 FBgn0000114 5.56
FBtr0331998 FBgn0000114 0.37
FBtr0075517 FBgn0000115 36.32
FBtr0076543 FBgn0000116 42.29
FBtr0076544 FBgn0000116 25.99
FBtr0076545 FBgn0000116 676.3
FBtr0076546 FBgn0000116 4.89
FBtr0112791 FBgn0000116 1.3
FBtr0331550 FBgn0000116 31.7
FBtr0089988 FBgn0000117 1.28
FBtr0089989 FBgn0000117 0.00
FBtr0089990 FBgn0000117 11.79
FBtr0089991 FBgn0000117 56.86
FBtr0089992 FBgn0000117 33.75
FBtr0332583 FBgn0000117 0.00
FBtr0087702 FBgn0000119 7.25
FBtr0081030 FBgn0000120 470.3
FBtr0307350 FBgn0000120 0.34
FBtr0076599 FBgn0000121 356.65
FBtr0070075 FBgn0000137 0.07
FBtr0084659 FBgn0000139 7.32
FBtr0084660 FBgn0000139 4.74
FBtr0306171 FBgn0000139 0.2
FBtr0084692 FBgn0000140 4.86
FBtr0080165 FBgn0000146 2.79
FBtr0112793 FBgn0000146 2.2
FBtr0082483 FBgn0000147 44.74
FBtr0085864 FBgn0000150 662.55
FBtr0074372 FBgn0000152 6.49
FBtr0100417 FBgn0000152 1.11
FBtr0080542 FBgn0000153 56.78
FBtr0309960 FBgn0000153 9.3
FBtr0072378 FBgn0000157 0.31
FBtr0072379 FBgn0000157 5.81
FBtr0300076 FBgn0000157 0.00
FBtr0084869 FBgn0000158 1.23
FBtr0074388 FBgn0000163 14.6
FBtr0111000 FBgn0000163 3.03
FBtr0081664 FBgn0000166 0.00
FBtr0081665 FBgn0000166 0.00
FBtr0081666 FBgn0000166 0.00
FBtr0081667 FBgn0000166 0.00
FBtr0081668 FBgn0000166 0.49
FBtr0073855 FBgn0000173 48.76
FBtr0300566 FBgn0000173 48.39
FBtr0307296 FBgn0000173 0.01
FBtr0332843 FBgn0000173 0.86
FBtr0332844 FBgn0000173 2.5
FBtr0070672 FBgn0000179 0.00
FBtr0300608 FBgn0000179 0.26
FBtr0300609 FBgn0000179 0.48
FBtr0308914 FBgn0000179 0.84
FBtr0308915 FBgn0000179 0.61
FBtr0331162 FBgn0000179 0.00
FBtr0079929 FBgn0000180 0.87
FBtr0329984 FBgn0000180 0.97
FBtr0087782 FBgn0000181 119.94
FBtr0087783 FBgn0000181 33.59
FBtr0080803 FBgn0000182 0.00
FBtr0080804 FBgn0000182 0.00
FBtr0080805 FBgn0000182 101.28
FBtr0081002 FBgn0000183 6.33
FBtr0305688 FBgn0000183 5.89
FBtr0330225 FBgn0000183 4.35
FBtr0330226 FBgn0000183 5
FBtr0084949 FBgn0000206 16.11
FBtr0070261 FBgn0000210 0.71
FBtr0070262 FBgn0000210 0.00
FBtr0070263 FBgn0000210 0.00
FBtr0070265 FBgn0000210 0.72
FBtr0070266 FBgn0000210 0.00
FBtr0300427 FBgn0000210 1.25
FBtr0300428 FBgn0000210 0.14
FBtr0300429 FBgn0000210 0.00
FBtr0303562 FBgn0000210 0.4
FBtr0303563 FBgn0000210 0.23
FBtr0303564 FBgn0000210 0.19
FBtr0308319 FBgn0000210 1.19
FBtr0330406 FBgn0000210 0.00
FBtr0332293 FBgn0000210 0.00
FBtr0075523 FBgn0000212 1.03
FBtr0075524 FBgn0000212 3.41
FBtr0075525 FBgn0000212 5.56
FBtr0075526 FBgn0000212 1.06
FBtr0330160 FBgn0000212 7.36
FBtr0333580 FBgn0000212 0.51
FBtr0075621 FBgn0000216 0.00
FBtr0070638 FBgn0000221 2.62
FBtr0077423 FBgn0000227 0.00
FBtr0079083 FBgn0000228 0.51
FBtr0079084 FBgn0000228 3.64
FBtr0079085 FBgn0000228 0.59
FBtr0302567 FBgn0000228 4.11
FBtr0302568 FBgn0000228 1.91
FBtr0310624 FBgn0000228 0.00
FBtr0310625 FBgn0000228 3.54
FBtr0080087 FBgn0000229 38.18
FBtr0300982 FBgn0000229 0.00
FBtr0302378 FBgn0000229 2.97
FBtr0071379 FBgn0000233 0.95
FBtr0301342 FBgn0000239 59.25
FBtr0072117 FBgn0000241 2.5
FBtr0074597 FBgn0000242 0.86
FBtr0074598 FBgn0000242 0.18
FBtr0074599 FBgn0000242 2.68
FBtr0330224 FBgn0000242 1.35
FBtr0332842 FBgn0000242 0.03
FBtr0082119 FBgn0000244 37.7
FBtr0301093 FBgn0000244 0.56
FBtr0302382 FBgn0000244 0.01
FBtr0083194 FBgn0000246 0.00
FBtr0083195 FBgn0000246 5.07
FBtr0083196 FBgn0000246 0.00
FBtr0085484 FBgn0000247 20.53
FBtr0080844 FBgn0000250 0.71
FBtr0080845 FBgn0000250 29.58
FBtr0080846 FBgn0000250 42.8
FBtr0080847 FBgn0000250 0.47
FBtr0081412 FBgn0000251 31.25
FBtr0081413 FBgn0000251 0.04
FBtr0088001 FBgn0000253 572.75
FBtr0088002 FBgn0000253 63.72
FBtr0304963 FBgn0000253 27.98
FBtr0304964 FBgn0000253 37.3
FBtr0077511 FBgn0000256 6.46
FBtr0077512 FBgn0000256 1.03
FBtr0077513 FBgn0000256 1.71
FBtr0290077 FBgn0000256 3.57
FBtr0290078 FBgn0000256 4.78
FBtr0290079 FBgn0000256 3.75
FBtr0290080 FBgn0000256 47.53
FBtr0290081 FBgn0000256 30.58
FBtr0290082 FBgn0000256 69.7
FBtr0074727 FBgn0000257 0.45
FBtr0074728 FBgn0000257 8.99
FBtr0331158 FBgn0000257 1.1
FBtr0073558 FBgn0000259 3.44
FBtr0073560 FBgn0000259 3.87
FBtr0073561 FBgn0000259 4.5
FBtr0073562 FBgn0000259 36.34
FBtr0100540 FBgn0000259 5.72
FBtr0299569 FBgn0000259 0.99
FBtr0307896 FBgn0000259 5
FBtr0308084 FBgn0000259 9.78
FBtr0308085 FBgn0000259 0.00
FBtr0333204 FBgn0000259 21.22
FBtr0075058 FBgn0000261 487.89
FBtr0079851 FBgn0000273 38.72
FBtr0079852 FBgn0000273 0.22
FBtr0085727 FBgn0000274 40.67
FBtr0085612 FBgn0000276 114.91
FBtr0085614 FBgn0000277 1.35
FBtr0085640 FBgn0000278 0.25
FBtr0085616 FBgn0000279 0.85
FBtr0083126 FBgn0000283 15.39
FBtr0083127 FBgn0000283 3.65
FBtr0089647 FBgn0000286 6.48
FBtr0089648 FBgn0000286 0.00
FBtr0089649 FBgn0000286 16.66
FBtr0304887 FBgn0000286 6.7
FBtr0080235 FBgn0000287 3.65
FBtr0080236 FBgn0000287 7
FBtr0307093 FBgn0000287 0.72
FBtr0087526 FBgn0000289 8.66
FBtr0087527 FBgn0000289 0.00
FBtr0087528 FBgn0000289 2.03
FBtr0087529 FBgn0000289 0.09
FBtr0112795 FBgn0000289 15.71
FBtr0112796 FBgn0000289 0.00
FBtr0290034 FBgn0000289 8.25
FBtr0290035 FBgn0000289 17.35
FBtr0079001 FBgn0000299 27.43
FBtr0079002 FBgn0000299 3.19
FBtr0079003 FBgn0000299 8.76
FBtr0089367 FBgn0000303 8.08
FBtr0089368 FBgn0000303 2.46
FBtr0080838 FBgn0000307 3.54
FBtr0080839 FBgn0000307 4.39
FBtr0321313 FBgn0000307 1.66
FBtr0079233 FBgn0000308 47.67
FBtr0079234 FBgn0000308 0.65
FBtr0079235 FBgn0000308 29.92
FBtr0079236 FBgn0000308 3.15
FBtr0309212 FBgn0000308 3.9
FBtr0309213 FBgn0000308 0.14
FBtr0085778 FBgn0000313 31.1
FBtr0330099 FBgn0000313 26.01
FBtr0330100 FBgn0000313 0.8
FBtr0330101 FBgn0000313 0.00
FBtr0070064 FBgn0000316 1.11
FBtr0070065 FBgn0000316 23.48
FBtr0080723 FBgn0000317 19.48
FBtr0080724 FBgn0000317 5.19
FBtr0079095 FBgn0000318 147.12
FBtr0329967 FBgn0000318 8.23
FBtr0329968 FBgn0000318 4.92
FBtr0074179 FBgn0000319 112.32
FBtr0074180 FBgn0000319 7.56
FBtr0074181 FBgn0000319 14.95
FBtr0074182 FBgn0000319 3.87
FBtr0112797 FBgn0000319 0.54
FBtr0112798 FBgn0000319 3.15
FBtr0079334 FBgn0000320 4.22
FBtr0079335 FBgn0000320 2.76
FBtr0306113 FBgn0000320 4.46
FBtr0071687 FBgn0000326 12.3
FBtr0071033 FBgn0000330 14.39
FBtr0332315 FBgn0000330 3.44
FBtr0088931 FBgn0000337 0.06
FBtr0080848 FBgn0000339 19.3
FBtr0080849 FBgn0000339 37.85
FBtr0073754 FBgn0000346 58.18
FBtr0333329 FBgn0000346 10.41
FBtr0079320 FBgn0000351 0.00
FBtr0333350 FBgn0000351 0.99
FBtr0089015 FBgn0000352 6.74
FBtr0076572 FBgn0000355 1.97
FBtr0076574 FBgn0000356 0.00
FBtr0076571 FBgn0000357 0.45
FBtr0076573 FBgn0000358 0.00
FBtr0071203 FBgn0000359 0.00
FBtr0071204 FBgn0000360 0.00
FBtr0300448 FBgn0000360 0.00
FBtr0081512 FBgn0000370 329.58
FBtr0081513 FBgn0000370 40.95
FBtr0332001 FBgn0000370 16.01
FBtr0332002 FBgn0000370 6.41
FBtr0070495 FBgn0000376 6.58
FBtr0070496 FBgn0000376 0.00
FBtr0070418 FBgn0000377 15.32
FBtr0070378 FBgn0000382 18.64
FBtr0070379 FBgn0000382 10.42
FBtr0070380 FBgn0000382 19.03
FBtr0333260 FBgn0000382 1.73
FBtr0111126 FBgn0000384 14.9
FBtr0290322 FBgn0000392 74.33
FBtr0070804 FBgn0000394 16.44
FBtr0071610 FBgn0000395 8.76
FBtr0076075 FBgn0000404 18.27
FBtr0076076 FBgn0000404 0.00
FBtr0304650 FBgn0000404 1.86
FBtr0071911 FBgn0000405 31.93
FBtr0071913 FBgn0000405 0.00
FBtr0071914 FBgn0000405 0.00
FBtr0309858 FBgn0000405 0.7
FBtr0080932 FBgn0000406 448.24
FBtr0331931 FBgn0000406 49.09
FBtr0080889 FBgn0000409 594.04
FBtr0075746 FBgn0000411 1.4
FBtr0333034 FBgn0000411 0.00
FBtr0333035 FBgn0000411 0.12
FBtr0333036 FBgn0000411 6.12
FBtr0081987 FBgn0000412 29.04
FBtr0081988 FBgn0000412 46.67
FBtr0301524 FBgn0000412 1.37
FBtr0080008 FBgn0000413 1.78
FBtr0332195 FBgn0000413 2.25
FBtr0332196 FBgn0000413 16.55
FBtr0075318 FBgn0000414 5.68
FBtr0305084 FBgn0000414 13.73
FBtr0305085 FBgn0000414 0.23
FBtr0305086 FBgn0000414 3.87
FBtr0330189 FBgn0000414 0.00
FBtr0330190 FBgn0000414 0.01
FBtr0333625 FBgn0000414 0.00
FBtr0333626 FBgn0000414 2.03
FBtr0085713 FBgn0000416 648.07
FBtr0085714 FBgn0000416 2.48
FBtr0081166 FBgn0000422 10.17
FBtr0081167 FBgn0000422 1.9
FBtr0290291 FBgn0000422 33.64
FBtr0088010 FBgn0000426 18.85
FBtr0071145 FBgn0000427 0.09
FBtr0071146 FBgn0000427 0.00
FBtr0071147 FBgn0000427 0.68
FBtr0309795 FBgn0000427 0.00
FBtr0309796 FBgn0000427 0.00
FBtr0310269 FBgn0000427 0.00
FBtr0081621 FBgn0000439 2.08
FBtr0078042 FBgn0000442 12.83
FBtr0081890 FBgn0000447 3.45
FBtr0300442 FBgn0000447 95.74
FBtr0088366 FBgn0000448 1.57
FBtr0088368 FBgn0000448 0.00
FBtr0112799 FBgn0000448 0.09
FBtr0302438 FBgn0000448 0.00
