target_id	length	eff_length	est_counts	tpm
FBtr0071763	4831	4614.56	290.527	3.65301
FBtr0071764	5180	4963.56	17.8711	0.208907
FBtr0100521	4644	4427.56	256.602	3.36273
FBtr0083387	4284	4067.56	0	0
FBtr0083388	3953	3736.56	186.885	2.902
FBtr0300485	4559	4342.56	348.757	4.65985
FBtr0306337	5265	5048.56	64.3585	0.739663
FBtr0083381	3549	3332.56	97.1753	1.69189
FBtr0083382	3297	3080.56	85.8308	1.61662
FBtr0083383	3250	3033.56	99.9032	1.91083
FBtr0083384	4743	4526.56	129.272	1.65703
FBtr0083385	3703	3486.56	38.3782	0.638679
FBtr0330709	2537	2320.56	80.4407	2.01131
FBtr0075357	6006	5789.56	560.699	5.61927
FBtr0112790	6060	5843.56	422.547	4.19559
FBtr0330130	6261	6044.56	225.49	2.1645
FBtr0330131	5967	5750.56	22.5273	0.227298
FBtr0330132	5913	5696.56	29.4515	0.299978
FBtr0330133	6315	6098.56	172.955	1.64552
FBtr0330134	5712	5495.56	55.632	0.587365
FBtr0330135	5658	5441.56	74.1512	0.79066
FBtr0330136	6060	5843.56	422.547	4.19559
FBtr0080168	1774	1557.56	582	21.6807
FBtr0070072	917	700.638	0	0
FBtr0082780	4454	4237.56	773.666	10.5933
FBtr0300486	4077	3860.56	136.334	2.04904
FBtr0074015	2080	1863.56	0	0
FBtr0100326	1996	1779.56	0	0
FBtr0100328	2774	2557.56	12.4554	0.28257
FBtr0290063	2017	1800.56	0	0
FBtr0290064	1984	1767.56	48.702	1.5987
FBtr0305189	2053	1836.56	0	0
FBtr0305190	1963	1746.56	28.2302	0.937832
FBtr0305191	2690	2473.56	52.9448	1.24193
FBtr0305192	1969	1752.56	9.0683e-07	3.00225e-08
FBtr0305193	2002	1785.56	0	0
FBtr0305194	2020	1803.56	0	0
FBtr0305195	2041	1824.56	18.6676	0.593642
FBtr0305196	2026	1809.56	0	0
FBtr0085609	1944	1727.56	811.611	27.259
FBtr0085610	1894	1677.56	44.3887	1.53529
FBtr0084619	3469	3252.56	79.5	1.4182
FBtr0330310	3469	3252.56	79.5	1.4182
FBtr0072367	4782	4565.56	305.684	3.88484
FBtr0072368	4833	4616.56	108.316	1.36135
FBtr0073299	2460	2243.56	2003.15	51.805
FBtr0073300	818	601.917	356.846	34.3986
FBtr0084639	2379	2162.56	161	4.31969
FBtr0084640	2216	1999.56	0	0
FBtr0070822	1637	1420.56	10768.5	439.833
FBtr0070823	2654	2437.56	1841.44	43.8326
FBtr0100662	2252	2035.56	70.8418	2.0193
FBtr0100663	1928	1711.56	2682.26	90.9292
FBtr0086029	1622	1405.56	5348	220.768
FBtr0071519	1726	1509.56	22251.8	855.282
FBtr0300946	2384	2167.56	55.2057	1.47777
FBtr0078478	1543	1326.56	11296	494.073
FBtr0334090	1619	1402.56	751.018	31.0687
FBtr0082785	1565	1348.56	1384.93	59.5871
FBtr0082786	1643	1426.56	2181.07	88.7102
FBtr0083143	1572	1355.56	1236	52.9047
FBtr0079219	4287	4070.56	364.22	5.19165
FBtr0079220	4260	4043.56	773.263	11.0958
FBtr0079221	4277	4060.56	1921.52	27.457
FBtr0079431	4522	4305.56	3726.08	50.2132
FBtr0100353	1600	1383.56	118.923	4.98725
FBtr0086111	1663	1446.56	57.4216	2.30321
FBtr0086112	1795	1578.56	56.5023	2.07682
FBtr0086113	1675	1458.56	499.348	19.8643
FBtr0330251	1701	1484.56	12.0272	0.470068
FBtr0330252	1662	1445.56	18.7012	0.750634
FBtr0100589	1071	854.565	53292.9	3618.43
FBtr0100590	1016	799.565	1123.88	81.5575
FBtr0100591	2077	1860.56	410.818	12.8115
FBtr0100593	2022	1805.56	10.5393	0.338685
