target_id	length	eff_length	est_counts	tpm
ENST00000000233	1103	926.048	2810	119.729
ENST00000000412	2756	2579.05	3772.38	57.7141
ENST00000000442	2215	2038.05	463.769	8.97871
ENST00000001008	2267	2090.05	8116.31	153.225
ENST00000001146	4732	4555.05	0	0
ENST00000002125	2176	1999.05	522.709	10.3172
ENST00000002165	2356	2179.05	1264.67	22.9001
ENST00000002501	2079	1902.05	1842.86	38.2294
ENST00000002596	8031	7854.05	18	0.0904286
ENST00000002829	3802	3625.05	0	0
ENST00000003084	6128	5951.05	0	0
ENST00000003100	3210	3033.05	3112.17	40.4866
ENST00000003302	4669	4492.05	138.736	1.21863
ENST00000003583	2544	2367.05	0	0
ENST00000003912	5481	5304.05	321.236	2.3897
ENST00000004103	1261	1084.05	0	0
ENST00000004531	7560	7383.05	0	0
ENST00000004921	1324	1147.05	0	0
ENST00000004980	4838	4661.05	384.011	3.25077
ENST00000004982	1457	1280.05	20	0.616496
ENST00000005082	2021	1844.05	136.794	2.92699
ENST00000005178	3576	3399.05	0	0
ENST00000005180	526	349.07	0	0
ENST00000005226	2700	2523.05	0	0
ENST00000005257	2880	2703.05	1705.75	24.8993
ENST00000005259	4572	4395.05	224.177	2.01259
ENST00000005260	3622	3445.05	1597	18.291
ENST00000005284	3088	2911.05	2	0.0271086
ENST00000005286	3480	3303.05	105.185	1.25651
ENST00000005340	3018	2841.05	1303.78	18.1072
ENST00000005374	993	816.048	8.66637	0.419033
ENST00000005386	2332	2155.05	903.482	16.5421
ENST00000005558	1834	1657.05	55.6291	1.32463
ENST00000005756	2224	2047.05	0	0
ENST00000005995	1101	924.048	0	0
ENST00000006015	2295	2118.05	0	0
ENST00000006053	3321	3144.05	865.16	10.8576
ENST00000006101	886	709.048	94.435	5.25513
ENST00000006251	1767	1590.05	552.31	13.7056
ENST00000006275	805	628.07	718.391	45.1315
ENST00000006658	2719	2542.05	189.767	2.94553
ENST00000006724	2489	2312.05	0	0
ENST00000006750	1269	1092.05	979.389	35.3867
ENST00000006777	1802	1625.05	389.247	9.45119
ENST00000006967	2434	2257.05	0.447399	0.00782134
