target_id	length	eff_length	est_counts	tpm
ENST00000382410	587	409.157	0	0
ENST00000382398	655	477.157	0	0
ENST00000382388	514	336.157	0	0
ENST00000334391	373	195.157	0	0
ENST00000246105	698	520.157	0	0
ENST00000382376	2121	1943.16	0	0
ENST00000608495	1672	1494.16	1	0.0261908
ENST00000382369	1420	1242.16	84.7292	2.66933
ENST00000360321	1575	1397.16	79.5186	2.22725
ENST00000400269	1022	844.157	2.75224	0.127588
ENST00000382352	3229	3051.16	1666	21.3676
ENST00000342665	4627	4449.16	239.127	2.10327
ENST00000544632	2868	2690.16	1007.87	14.6613
ENST00000382291	2088	1910.16	882.189	18.0733
ENST00000382285	1047	869.157	0	0
ENST00000470439	697	519.157	0	0
ENST00000609179	578	400.157	0	0
ENST00000609504	582	404.157	0	0
ENST00000608875	941	763.157	4.81052	0.246674
ENST00000608736	712	534.157	0	0
ENST00000217233	2499	2321.16	1169.54	19.7177
ENST00000449710	1070	892.157	23.4572	1.02892
ENST00000422053	1533	1355.16	0	0
ENST00000475269	1200	1022.16	730.022	27.9488
ENST00000400247	790	612.157	76.0268	4.86014
ENST00000411647	593	415.157	0	0
ENST00000441733	961	783.157	19.6697	0.982867
ENST00000414880	765	587.157	5.02493	0.334904
ENST00000356286	2774	2596.16	1476.96	22.263
ENST00000353660	2511	2333.16	0	0
ENST00000382181	2208	2030.16	312.296	6.01979
ENST00000354200	4466	4288.16	602	5.49377
ENST00000609525	581	403.157	1.57207	0.152595
ENST00000400227	1483	1305.16	3.76925	0.113015
ENST00000349736	4299	4121.16	2676.92	25.4192
ENST00000217244	4416	4238.16	586.078	5.41157
ENST00000400217	1451	1273.16	332.999	10.2354
ENST00000460062	552	374.157	0	0
ENST00000608066	577	399.157	6.65884	0.652829
ENST00000246080	1555	1377.16	2	0.0568318
ENST00000381962	2698	2520.16	486	7.54664
ENST00000488788	2714	2536.16	0	0
ENST00000246104	3577	3399.16	1	0.0115126
ENST00000217254	2598	2420.16	1	0.0161697
ENST00000381944	3060	2882.16	0	0
ENST00000541082	1638	1460.16	0	0
ENST00000381941	1809	1631.16	173.253	4.15651
ENST00000304189	1856	1678.16	0	0
ENST00000246100	1619	1441.16	0	0
ENST00000381939	1737	1559.16	0	0
ENST00000505691	1328	1150.16	1.74742	0.0594545
ENST00000381922	1922	1744.16	0	0
ENST00000546022	1702	1524.16	0	0
ENST00000217260	2707	2529.16	0	0
ENST00000400634	722	544.157	0	0
ENST00000381899	704	526.157	375.505	27.9284
ENST00000333082	3686	3508.16	1628.66	18.1675
ENST00000335877	4290	4112.16	741.14	7.05303
ENST00000435720	319	141.157	40.771	11.303
ENST00000381898	921	743.157	220.99	11.6369
ENST00000246015	2042	1864.16	753.937	15.827
ENST00000438768	1179	1001.16	0	0
ENST00000381894	1730	1552.16	0	0
ENST00000429036	983	805.157	0	0
ENST00000400633	1604	1426.16	2	0.0548792
ENST00000246108	492	314.157	0	0
ENST00000409241	1808	1630.16	0	0
ENST00000402452	1707	1529.16	0	0
ENST00000381882	1659	1481.16	0	0
ENST00000381873	4995	4817.16	48	0.389938
ENST00000381867	5533	5355.16	0	0
ENST00000381808	1295	1117.16	0	0
ENST00000381812	1484	1306.16	9.2025	0.275712
ENST00000339987	1404	1226.16	19.7975	0.631843
ENST00000360779	1519	1341.16	0	0
ENST00000537552	1328	1150.16	0	0
ENST00000381724	976	798.157	208.283	10.212
ENST00000381715	705	527.157	0	0
ENST00000400137	1622	1444.16	8999.17	243.856
ENST00000381719	747	569.157	100.764	6.92818
ENST00000439640	279	101.157	9.5835	3.70743
ENST00000353088	2611	2433.16	456.128	7.33604
ENST00000476071	2800	2622.16	0	0
ENST00000216879	3568	3390.16	195.605	2.2579
ENST00000381658	3451	3273.16	9.71364	0.116134
ENST00000350991	1349	1171.16	1555.55	51.9774
ENST00000359801	2642	2464.16	0	0
ENST00000444444	884	706.157	0	0
ENST00000537284	1480	1302.16	0	0
ENST00000429387	416	238.157	0	0
ENST00000381621	823	645.157	28.8609	1.75061
ENST00000381623	1958	1780.16	7.13908	0.156938
ENST00000565076	814	636.157	125.693	7.732
ENST00000567028	568	390.157	16.0105	1.60587
ENST00000262929	1659	1481.16	29.7879	0.787017
ENST00000563840	583	405.157	15.9405	1.53965
ENST00000569387	947	769.157	0	0
ENST00000566055	928	750.157	0	0
ENST00000565087	907	729.157	0	0
ENST00000562014	807	629.157	33.8491	2.10539
ENST00000566961	563	385.157	2.22255	0.225818
ENST00000569629	472	294.157	0	0
ENST00000564763	588	410.157	4.36771	0.416724
ENST00000381605	3241	3063.16	648.638	8.28663
ENST00000381603	1715	1537.16	464.01	11.8128
ENST00000279477	2207	2029.16	791.975	15.2736
ENST00000568365	1701	1523.16	19.0576	0.48963
ENST00000381580	1732	1554.16	10.818	0.272394
ENST00000344103	1042	864.157	312.983	14.1734
ENST00000303415	1716	1538.16	1194.99	30.4024
ENST00000381583	1383	1205.16	0	0
ENST00000216927	831	653.157	10.8168	0.648077
ENST00000447206	346	168.157	0	0
ENST00000400068	3875	3697.16	28.4852	0.301506
ENST00000356025	3867	3689.16	454.359	4.81966
ENST00000358771	3996	3818.16	0	0
ENST00000540134	2472	2294.16	0	0
ENST00000539905	2526	2348.16	0	0
ENST00000217305	2555	2377.16	0	0
ENST00000381482	6685	6507.16	23.5767	0.141787
ENST00000246032	6409	6231.16	770.423	4.83844
ENST00000400064	1197	1019.16	0	0
ENST00000447956	415	237.157	0	0
ENST00000411839	536	358.157	3	0.327788
ENST00000381458	2642	2464.16	6	0.0952857
ENST00000202625	2292	2114.16	0	0
ENST00000381423	2158	1980.16	0	0
ENST00000381342	1154	976.157	5146.49	206.318
ENST00000438552	1008	830.157	1176.87	55.4769
ENST00000339610	1450	1272.16	59.6475	1.83483
ENST00000421216	642	464.157	0	0
ENST00000278772	3632	3454.16	313.329	3.5498
ENST00000381253	819	641.157	8.67069	0.529218
ENST00000445484	1028	850.157	0	0
ENST00000358413	768	590.157	0	0
ENST00000358864	3169	2991.16	1	0.013083
ENST00000445139	856	678.157	7.81167	0.450774
ENST00000415272	919	741.157	184.947	9.76522
ENST00000329276	2400	2222.16	5211.24	91.7723
ENST00000380851	1230	1052.16	18.2308	0.678063
ENST00000380843	1545	1367.16	2950.77	84.4621
ENST00000380648	2910	2732.16	0	0
ENST00000342725	2705	2527.16	0	0
ENST00000609451	2012	1834.16	0	0
ENST00000463145	642	464.157	0	0
ENST00000380605	2391	2213.16	917	16.2144
ENST00000603872	580	402.157	0	0
ENST00000380589	730	552.157	0	0
ENST00000361033	3892	3714.16	0	0
ENST00000554164	1866	1688.16	0	0
ENST00000380585	571	393.157	0	0
ENST00000380593	1866	1688.16	0	0
ENST00000474714	531	353.157	8.47563	0.93918
ENST00000360652	2016	1838.16	732.447	15.5933
ENST00000448755	1170	992.157	2.18616e-05	8.62275e-07
ENST00000356872	1706	1528.16	71.0773	1.82015
ENST00000439542	1187	1009.16	0	0
ENST00000417508	819	641.157	0	0
ENST00000453689	966	788.157	0	0
ENST00000380445	2750	2572.16	1287.48	19.5879
ENST00000380469	2318	2140.16	48.2916	0.883021
